id,strain,agouti,group,sex,CACNA1C,d50bw,pctdurlight,d1totalactivity,d1centerdur,d2totalactivity,d3.d2totalactivity,immobdur,ppibox,startle
55703,DDY,b,CAC13,M,WT,33.9,52.4,5137,81,5860,22120,31.8,5,61.9
55704,DDY,b,CAC13,M,HET,35.1,38.6,3054,18,2148,23279,0.2,1,20.3
55705,DDY,b,CAC13,M,WT,31.7,48,4453,45,4514,19072,56.7,2,84
55709,SEA,a,CAC13,F,HET,18.3,43.6,7272,109,6273,15496,14.8,3,57.4
55710,SEA,a,CAC13,F,HET,20.7,34.2,7171,199,8032,14021,9.9,4,24.7
55717,NZB,b,CAC13,F,WT,22.4,32.7,4615,89,4328,20869,108,5,69.3
55718,NZB,b,CAC13,F,WT,23,40.7,5425,175,4919,16542,26.3,1,34.3
55722,NZB,b,CAC13,F,WT,23.7,25.9,5399,129,4872,10860,13.9,2,41.8
55723,NZB,b,CAC13,F,WT,23.8,34.2,4634,93,3601,12420,0,3,53.3
55725,MA,a,CAC13,M,HET,22,38,5652,78,6564,7699,94.8,4,28.1
55726,MA,a,CAC13,M,WT,24.2,38.4,6674,138,6924,11583,27.5,5,21.3
55727,MA,a,CAC13,M,WT,23.7,48.6,5819,133,7766,11570,47.4,1,11.3
55728,MA,a,CAC13,M,WT,22.3,42.7,6522,173,7136,5236,65.6,2,10.8
55729,MA,a,CAC13,M,WT,22.8,42.5,6911,282,4981,12506,43.2,3,57.6
55730,MA,a,CAC13,F,HET,18.5,48,3901,87,2261,13394,10.2,4,20.7
55731,MA,a,CAC13,F,WT,17.5,34.8,6543,167,4211,12600,35.2,5,16.4
55733,MA,a,CAC13,F,HET,17.9,24.6,4267,28,4156,5647,15.6,1,10.5
55734,B6,b,CAC13,F,HET,16.9,21.4,4229,37,3891,19081,61.9,2,8.4
55735,B6,b,CAC13,F,HET,16.4,14.7,3972,85,3248,18920,30.8,3,54.2
55736,B6,b,CAC13,F,HET,17.7,55.6,4462,96,4431,24681,68.3,4,30.6
55737,B6,b,CAC13,F,WT,16.4,47.5,6076,281,5628,15471,41.7,5,33.8
55744,LP,a,CAC13,M,WT,30,37.9,7457,75,7665,15455,58.4,1,12.9
55745,LP,a,CAC13,M,WT,32.1,47.6,4398,190,3266,11359,80.2,2,4.8
55746,CBA,a,CAC13,M,WT,25.1,38.1,7556,135,8082,15157,1.7,3,168.4
55747,CBA,a,CAC13,M,HET,24.7,43.9,4167,188,4407,5363,2.6,4,154.3
55748,CBA,a,CAC13,M,WT,25.4,43.9,6827,232,7097,24048,19.6,5,112.7
55749,CBA,a,CAC13,M,HET,25.7,47.9,5449,249,5261,13730,7.6,1,75.5
55750,CBA,a,CAC13,M,WT,21.3,44.9,5650,148,6395,11696,47.6,2,73.1
55751,CBA,a,CAC13,M,WT,22.9,44.1,7380,201,6029,13693,34.5,3,117.5
55752,NOD,a,CAC13,M,WT,27,51.5,7468,139,5853,20379,25.1,4,64
55753,NOD,a,CAC13,M,HET,26.9,30.6,5890,99,6627,6814,17.2,5,13.1
55754,NOD,a,CAC13,M,WT,25.4,46.4,8168,251,8009,18078,39.6,1,46.1
55755,NOD,a,CAC13,M,HET,26.9,37.5,6298,82,4983,10864,0.4,2,12
55756,NOD,a,CAC13,M,HET,26.4,36.4,7616,214,5978,10402,11.9,3,36.5
55757,NOD,a,CAC13,M,WT,27.6,22.7,6247,232,6833,16141,10.9,4,20.2
55758,NOD,a,CAC13,M,WT,26.1,35.1,8645,175,8133,10557,25.3,5,22.1
55759,NOD,a,CAC13,M,HET,24.9,43.8,6255,74,6728,11835,35.1,1,15
55760,NOD,a,CAC13,F,WT,20.4,32.7,4809,122,5557,14802,55,2,10.8
55761,NOD,a,CAC13,F,HET,19.6,4.5,3340,35,3736,4617,38.3,3,39.3
55762,SWR,a,CAC14,M,WT,24.4,35.7,4851,204,4355,13900,25,1,17.1
55763,SWR,a,CAC14,M,WT,24.7,46.6,5312,173,NA,NA,4.6,2,31
55766,SWR,a,CAC14,F,WT,17.7,40.5,5583,222,5543,21838,1.6,3,51.8
55767,SWR,a,CAC14,F,WT,17,45.7,6799,250,6137,20866,2.3,4,23
55770,C58,b,CAC14,M,WT,24.1,33.8,6794,97,6405,10620,10.3,5,6.5
55771,C58,b,CAC14,M,HET,22.3,51.3,5060,82,5303,8982,28,1,6.5
55772,C58,b,CAC14,M,HET,25.9,46,3070,48,8621,9874,1.2,2,9.3
55773,C58,b,CAC14,M,HET,22.4,83.2,6173,129,6256,11352,28.8,3,48.5
55774,CBA,a,CAC14,M,WT,25.2,48.5,7003,348,7085,15318,18.9,4,84.6
55775,CBA,a,CAC14,M,WT,24.8,51.3,8898,202,8398,12483,36,5,150.2
55776,CBA,a,CAC14,M,HET,22.4,38.6,3741,191,5004,11093,1.3,1,35.3
55777,CBA,a,CAC14,F,WT,20.7,49.3,6114,135,5791,3818,21.3,2,54.8
55778,CBA,a,CAC14,F,WT,19,36.6,5060,202,5207,17497,21.2,3,78.3
55781,C58,b,CAC14,M,WT,20.9,54.6,7267,109,4999,27265,2,4,11.6
55783,C58,b,CAC14,M,WT,23,50,9027,300,7070,18588,4.9,5,7.4
55784,SM,a,CAC14,M,WT,22.1,30.7,7644,134,7838,11117,4.6,1,103.1
55785,SM,b,CAC14,M,WT,27.4,39.1,7226,206,7845,12903,6.5,2,79.1
55792,NOD,a,CAC14,F,WT,20.1,44.7,6508,310,6689,18416,97.4,3,56.8
55793,NOD,a,CAC14,F,HET,19.5,36.4,3073,220,3338,4400,12.6,4,17.3
55796,MRL,b,CAC14,M,WT,36.5,31.5,3913,122,5013,18102,38.8,5,68.3
55797,MRL,b,CAC14,M,HET,38.7,30.8,3548,132,1112,9904,21.3,1,40.5
55798,MRL,b,CAC14,F,WT,31.6,40.3,5015,106,3804,2311,94.5,2,32.8
55799,MRL,b,CAC14,F,HET,27.5,43.4,311,3,3112,8722,3.1,3,75.2
55801,MRL,b,CAC14,F,HET,27.9,45.2,4378,167,3749,9848,3,4,36
55802,DDY,b,CAC14,F,HET,25.5,31.1,2798,21,2267,13850,3,5,35.8
55803,DDY,b,CAC14,F,WT,22.3,41.5,6064,103,4885,22605,9.7,1,40.5
55804,DDY,b,CAC14,F,HET,23.6,6,1811,3,1262,584,0,2,14.1
55805,DDY,b,CAC14,F,WT,23,38.4,3957,17,3183,27015,131.9,3,62.2
55810,SM,b,CAC14,M,HET,24.7,30.6,6127,86,6391,9077,7,4,150.5
55811,SM,b,CAC14,M,HET,22,40.6,7575,136,6504,6330,22.3,5,118.4
55812,SM,b,CAC14,F,WT,15,27.7,9350,130,9872,18459,30.4,1,28.1
55813,SM,b,CAC14,F,HET,16.8,35.5,6676,57,7185,13729,57.7,2,25.8
55814,BKS,b,CAC14,M,WT,24,38.6,3195,84,2915,3982,46.2,3,55
55815,BKS,b,CAC14,M,HET,26.1,27.9,2427,36,2131,6709,0.5,4,19.4
55816,BKS,b,CAC14,F,HET,19.1,60.2,3109,37,1902,-1397,3.1,5,5.7
55817,BKS,b,CAC14,F,HET,18,38.9,1722,38,2165,2282,63,1,14.3
55818,BKS,b,CAC14,F,WT,17.7,35.9,4156,115,3117,4781,5.1,2,25.9
55822,MRL,b,CAC14,F,WT,26.7,34.8,5224,80,3384,11757,23.9,3,107.5
55823,MRL,b,CAC14,F,HET,26.2,38.7,2730,6,1658,8621,8.6,4,55.8
55824,MRL,b,CAC14,F,HET,25.7,30.4,3854,14,2820,9895,56.8,5,33.7
55825,ILN,b,CAC14,F,HET,21.4,35.5,4930,3,3931,11308,0,1,83.2
55826,ILN,b,CAC14,F,HET,21.9,13.2,2755,0,1904,-32,40.9,2,43.9
55827,BKS,b,CAC14,F,HET,18.6,5.2,1523,5,735,3520,0.5,3,65.1
