id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53220,MRL,9,4A,F,HET,black,24.1,7.6,2756.4,PM,0.9,8.2,14.3,4,66.3,91.4,149.4,62,26.8,103
53221,MRL,9,4A,F,WT,black,23.5,106.6,5099.7,PM,0,17.4,35.3,5,67.1,44.4,94.9,40,27.7,89
53222,B6,9,4A,M,WT,black,23.7,32.3,2287.8,PM,5.36,40.9,59.8,1,71.6,60.8,131.6,62,26.8,151
53223,B6,9,4A,M,HET,black,21.4,45.7,4340.3,PM,1.79,2.3,21.4,2,51.6,68.4,31.6,77,24.3,89
53224,B6,9,4A,M,WT,black,21.4,90,3746.8,PM,0,0.7,33.5,3,53.1,72.8,153.6,72,24.6,115
53225,B6,9,4A,M,HET,black,19.7,31.4,3547.6,PM,10.72,8.7,29.5,4,68.1,30.9,93.2,63,24.1,104
53226,B6,9,4A,M,HET,black,22.4,31.6,1981.4,PM,1.34,2.7,35.6,5,65.5,78.7,105.7,65,25.8,111
53227,B6,9,4A,F,WT,black,18.6,99.1,4380.1,PM,1.34,17.5,19,1,71,17.8,100.2,71,20.2,104
53228,B6,9,4A,F,HET,black,16.3,98,2505.7,PM,0.89,5.2,23.5,2,30.2,69,158.6,68,17.8,97
53234,MRL,8,4B,F,WT,black,25.5,220.1,5692.8,AM,4.47,4.1,12.1,1,56.7,37.6,67.4,42,33,129
53235,MRL,8,4B,F,WT,black,23.6,80.5,5106.6,AM,0,0.2,30.8,2,62.4,40.1,149.8,42,33.4,160
53236,MRL,8,4B,F,HET,black,23.7,71.8,3788.4,AM,1.34,1.1,52.2,3,39.6,48.6,104.6,34,32.8,148
53237,NZW,6,4B,M,HET,agouti,29.7,130.3,2607,AM,0,4.1,48.2,4,33.7,72.1,164.1,50,34.7,113
53238,NZW,6,4B,M,HET,agouti,28.5,5.9,2148.1,AM,0.45,1.4,36.4,5,55.6,131.6,166.2,47,32.9,128
53239,NZW,6,4B,M,WT,agouti,31.6,136.2,3004.9,AM,0.45,0.7,59.8,1,32.1,81.5,110.6,54,37.4,131
53240,NZW,6,4B,M,WT,agouti,30.2,142,3750.9,AM,0.9,8.2,81.5,2,43.5,81.5,61.9,62,35.1,149
53241,NZW,6,4B,M,HET,agouti,28.6,199,2237.6,AM,2.68,7.3,52.7,3,34.3,57.8,142,84,33.5,122
53242,BUB,7,4B,M,HET,black,26.6,32.2,4938.9,AM,0,0.2,6.3,4,54.6,20.9,73.8,32,33.4,152
53243,BUB,7,4B,M,HET,black,26,65.8,3527.1,AM,0.45,0.2,10.3,5,27.6,34,90.8,52,28.8,113
53244,BUB,7,4B,M,HET,black,26.5,67.9,5407.6,AM,0,3.9,52.7,1,48.6,15.8,72.6,38,31.2,139
53245,BUB,7,4B,F,WT,black,21.3,326.3,6127.9,AM,11.16,1.1,87.5,2,82.7,28.4,108,37,27.8,115
53246,BUB,7,4B,F,WT,black,21.9,36.1,4258.4,AM,2.23,17.6,92,3,65.2,39.3,114.4,50,24.1,113
53247,BUB,7,4B,F,WT,black,21,150.3,5334.1,AM,0.45,1.8,71.9,4,88.2,32.9,79.8,60,25,95
53248,BUB,7,4B,F,WT,black,20.8,389.8,8558,AM,0.45,3.6,85.7,5,63.2,31.8,81.6,52,24.4,122
53249,SWR,7,4B,M,HET,agouti,23.5,64,3458.5,AM,0.45,5.7,0.9,1,48.1,64.8,17.3,49,28.5,117
53250,SWR,7,4B,M,WT,agouti,26.8,201.6,4948.6,AM,1.34,0.5,6.7,2,28.5,10.7,45.1,36,31.3,86
53251,SWR,7,4B,M,WT,agouti,26.1,194.6,3171.9,AM,0,2.9,48,3,35,43.5,38.3,42,31,120
53252,SWR,7,4B,F,WT,agouti,20,99.3,3960.5,AM,4.02,3.2,14.4,4,66.5,33.6,5.7,36,24.8,93
53253,SWR,7,4B,F,WT,agouti,17.6,205.4,4836.3,AM,0,0.7,11.7,5,70.3,46.1,29.4,50,21.7,95
53254,SWR,7,4B,F,HET,agouti,17.1,38.9,4458.8,AM,0,0,9.4,1,23.6,41.1,33.4,47,19.7,94
53255,SWR,7,4B,F,HET,agouti,17.2,34.1,4982.5,AM,0.45,5,43.8,2,33.1,31.8,32.3,42,19.8,91
53256,DBA,5,4B,M,HET,black,31.1,1.4,2998.8,AM,0.89,2.7,23.2,3,59.2,11,140.1,110,43.3,173
53257,DBA,5,4B,M,WT,black,29.9,238.8,4188.5,AM,0.45,0.7,19.6,4,64.8,20.1,130.2,98,41,217
53258,DBA,5,4B,M,HET,black,29,17.3,2154.4,AM,0.45,0.2,21,5,25.7,13.9,139.3,77,39.2,170
53259,DBA,5,4B,F,WT,black,23.9,50.7,4523.1,AM,2.24,11,42.9,1,57.4,17.8,110.8,42,28.4,121
53260,DBA,5,4B,F,HET,black,20.8,0.4,1486.6,AM,2.23,0.2,15.2,2,34.7,8.4,59.6,38,22.9,106
53261,NZW,8,4B,M,WT,agouti,32.3,143.1,5742.8,AM,1.34,1.8,18.8,3,-49.5,135.3,122.6,70,37.2,115
53262,NZW,8,4B,M,WT,agouti,30.6,55.4,2742.5,AM,3.13,9.1,38,4,58.4,115.3,146.4,58,37.2,155
53263,NZW,8,4B,M,HET,agouti,27.9,153.3,5232.6,AM,3.13,0.4,31.3,5,37.4,106.8,53.6,52,33.7,143
53264,NZW,8,4B,M,WT,agouti,30.5,99.4,3083.1,AM,0,16.2,31.3,1,45.5,118.4,51.9,50,35,140
53266,NZW,8,4B,F,HET,agouti,24,29,2735.3,AM,0.89,2,4.9,2,39.3,75.5,77.9,47,26.7,142
53267,NZW,8,4B,F,WT,agouti,26.3,54.1,3116.1,AM,1.79,41.6,20.4,3,17.2,89.8,142,44,30.9,114
53268,NZW,8,4B,F,HET,agouti,24.3,18,1781.4,AM,0.45,26.3,80.9,4,50.4,93.1,93.2,46,28.8,162
53269,LP,3,4B,F,HET,agouti,19.6,14.5,2829.5,AM,3.58,1.3,42.7,5,57.7,17.5,166.1,61,22.9,117
53270,LP,3,4B,F,HET,agouti,21.2,17.5,1182.9,AM,2.23,0,60.5,1,8.1,6.6,116.7,68,23.3,112
53271,AJ,6,4B,M,WT,black,26.8,118.1,4166.5,AM,0.45,47,38.8,2,75.6,32.3,115,62,37.5,171
53272,AJ,6,4B,M,HET,black,25.2,3.7,1553.8,AM,1.34,12.5,48.7,3,47.6,35.2,126.8,41,33,148
53273,AJ,6,4B,M,WT,black,24.5,8.7,3744.1,AM,3.57,43.4,64.7,4,47.8,17,53.6,45,31.5,159
53274,AJ,6,4B,F,WT,black,19.8,11.3,3387.3,AM,5.36,50.5,12.1,5,66.5,17.5,176.5,41,22.4,103
53275,AJ,6,4B,F,WT,black,22.8,31,3981,AM,8.48,15.3,88,1,63.7,23.1,94.3,45,27.7,86
53276,AJ,6,4B,F,HET,black,21.5,89.9,5564.3,AM,2.23,21.7,30.4,2,63.6,37.4,150.1,34,24.2,116
53277,C3H,6,4B,M,WT,agouti,33.7,198.2,4489.4,AM,2.23,1.4,32.6,3,20.8,94.2,62.6,74,43.5,140
53278,C3H,6,4B,M,WT,agouti,34.9,98.9,3388,AM,1.34,2.7,5.4,4,29.8,39.9,63.1,72,43.5,147
