id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53512,BTBR,11,6A,M,HET,black+tan,26.8,3.8,4370.3,AM,1.34,0.5,70.1,1,61.6,30.8,139.6,45,32.2,119
53513,BTBR,11,6A,M,HET,black+tan,28.7,62,4988.6,AM,0,12.6,77.8,2,75.7,50.5,117.6,54,34.9,151
53514,BTBR,11,6A,M,HET,black+tan,28,33.8,10294.6,AM,0,2.3,27.1,3,31.7,102.9,86.5,54,34.7,102
53515,BTBR,11,6A,M,WT,black+tan,30.7,95.6,5435,AM,1.79,31,76.5,4,58.9,89.6,115,67,39.5,120
53516,BTBR,11,6A,M,WT,black+tan,32.1,48,5115,AM,13.39,16.9,61.2,5,60.6,111.8,95.4,79,40,140
53517,BTBR,11,6A,M,WT,black+tan,34,100.7,4126.3,AM,2.68,4.6,54.5,1,51.9,51,119.1,64,46.9,171
53518,BTBR,11,6A,M,HET,black+tan,31,25.9,6229.4,AM,0,8.2,58.5,2,67.8,58.5,119.2,61,39.2,118
53519,LP,3,6A,M,WT,agouti,28.9,151.9,3610.4,AM,2.68,3.7,63.4,3,NA,NA,107.8,71,36.3,120
53520,LP,3,6A,M,WT,agouti,28.9,65.8,3249.1,AM,0,88.8,78.1,4,41.7,14,93.3,64,39,125
53521,RII,7,6A,M,WT,agouti,24.1,146.5,5241.9,AM,6.25,0.4,42.9,5,NA,NA,39,49,28,124
53522,RII,7,6A,M,HET,agouti,23.1,62.3,2057.1,AM,1.34,0.2,33,1,43,97.6,86.1,38,25.2,119
53523,RII,7,6A,M,WT,agouti,23.9,119.8,5284.2,AM,4.02,1.1,46.4,2,66.3,59.6,56,40,28.6,140
53524,RII,7,6A,M,WT,agouti,23.3,145,4286,AM,5.81,1.3,57.4,3,16.6,165,23.6,52,27.8,142
53525,RII,7,6A,F,WT,agouti,18.6,152.3,6626.4,AM,2.68,0,87.1,4,61.2,124,3.4,44,21.4,88
53526,RII,7,6A,F,WT,agouti,18.3,149.6,6096.8,AM,1.79,0.4,70.3,5,35.1,107.6,35.9,41,22.3,90
53527,RII,7,6A,F,WT,agouti,18.2,276.9,6310.7,AM,1.34,2.7,56.5,1,54.6,71.6,62.8,65,19,107
53528,NON,9,6A,M,WT,agouti,32.7,382.6,9365.7,AM,0.45,0.5,10.3,2,45,59.4,63.3,68,45.2,145
53529,NON,9,6A,M,HET,agouti,30.5,77.4,5218.1,AM,0.45,0.5,6.3,3,55.7,34,113.6,65,38.8,142
53530,NON,9,6A,F,WT,agouti,24.8,140.7,6010.5,AM,4.47,6.3,10.8,4,62.8,43.2,95.6,49,29.6,104
53531,NON,9,6A,F,HET,agouti,22.1,56.5,7335.5,AM,0,1.1,39.9,5,55.4,18.2,118.7,52,27.5,119
53532,NON,9,6A,F,HET,agouti,21,82,4364.4,AM,3.13,8.9,63.8,1,12.9,9.8,100.5,71,25.9,104
53533,NON,9,6A,F,WT,agouti,22.2,218,6088.4,AM,0,1.1,20.1,2,47.8,12.1,67.9,38,29.6,140
53534,NON,9,6A,F,WT,agouti,22.8,193.6,3803.6,AM,8.48,0,20.5,3,66.3,33,74.3,53,26.2,102
53535,NON,9,6A,F,HET,agouti,21.8,44.9,4177.9,AM,0.45,1.1,84.4,4,60,40.4,144.3,46,27.6,114
53536,NON,9,6A,F,HET,agouti,21.4,22.7,3717,AM,1.79,29.4,48.2,5,58.2,19.9,68.8,46,26.2,103
53537,MRL,5,6A,F,HET,black,25,103.8,5091.3,AM,0,0.4,23.7,1,18.4,35.9,110.1,51,29.1,84
53538,MRL,5,6A,F,HET,black,24.4,30.2,5748.4,AM,0.45,0.4,41.1,2,58.1,29.5,87.7,39,29.5,105
53541,LP,6,6A,M,HET,agouti,25,32.9,4092,AM,0,4.6,57.1,3,6.3,14.5,187.2,53,31.1,112
53543,LP,6,6A,F,WT,agouti,19.4,29.4,2170.4,AM,0.9,45.7,72.8,4,59.9,19.4,155.1,35,22.9,112
53548,BUB,10,6A,M,WT,black,28.1,141,4679.7,AM,8.93,0.7,88.4,5,69.2,38.6,110.2,44,34.8,110
53549,BUB,10,6A,M,WT,black,29.3,141.5,7471.4,AM,3.57,8,81.7,1,29.5,12.1,53.6,65,35.9,133
53550,BUB,10,6A,M,WT,black,28.3,56,3530.8,AM,0,77.2,92,2,84.5,26.8,82.1,37,34.8,107
53552,BUB,10,6A,F,HET,black,20.1,126.9,4548.5,AM,0,80.8,88,3,53,50,155.1,52,24.8,95
53555,BUB,10,6A,F,HET,black,18.3,145,5271.6,AM,0,5,50.4,4,56,33.2,71.6,41,22.1,127
53556,BUB,10,6A,F,HET,black,18.6,118.5,4958.9,AM,1.34,12.6,54.9,5,41.7,20.1,134.1,45,24.2,117
53557,KK,5,6A,M,WT,black,34,123.2,4926.1,AM,2.23,0.2,78.1,1,55,100.3,113.8,56,42.2,237
53558,KK,5,6A,M,HET,black,31,7.9,4744.6,AM,0.45,0.7,0.4,2,61.4,90.8,127.5,54,39.4,138
53559,KK,5,6A,F,HET,black,22.4,37.1,4808.4,AM,0,35.1,68.8,3,40.1,88.8,34.9,66,29.4,138
53560,KK,5,6A,F,WT,black,26.5,123.6,6057.9,AM,2.68,43.2,80.8,4,54.2,115,161.9,62,37.1,118
53561,KK,5,6A,F,HET,black,24.1,1.5,1676.5,AM,0,0.7,47.8,5,26.1,74.6,50.2,67,30.1,99
53562,DBA,6,6A,M,WT,black,28.5,137,4043.2,AM,0.45,0.9,33.9,1,-1.1,8.2,78.9,96,40.7,140
53563,DBA,6,6A,M,WT,black,27.4,173,5938.5,AM,0.89,0.9,56.7,2,77.6,10.5,86.2,92,39.1,138
53565,MA,7,6A,M,HET,agouti,21.7,128.1,3873.4,AM,5.36,6.8,37.5,3,42.8,15,126.2,36,26.3,115
53566,MA,7,6A,M,WT,agouti,26,100.2,3620.3,AM,0,56.6,51.8,4,59.3,39.8,51.4,48,32.4,134
53568,MA,7,6A,M,WT,agouti,24.6,106.3,6309.3,AM,0.9,3.9,25,5,68.3,22.8,42.6,46,29.9,129
53569,MA,7,6A,F,WT,agouti,17.6,117.8,4911.4,AM,0,3,71,1,43.2,10.2,54.5,59,21.5,122
53570,MA,7,6A,F,HET,agouti,19.6,204.4,3782.2,AM,0.45,1.8,94.2,2,20.8,7.2,46.3,43,21.8,116
53571,MA,7,6A,F,WT,agouti,18.7,83.8,5104.1,AM,0.45,11.9,90.6,3,63,15.9,143.9,45,23.8,103
53572,BKS,9,6B,M,WT,black,23.7,86.8,3797.8,PM,26.87,80.8,68.3,1,82.2,26.5,93.4,44,30.4,107
53573,BKS,9,6B,M,WT,black,24.6,95.3,4056.1,PM,0,50.7,58.9,2,78.6,19,111.3,44,30.9,110
53574,BKS,9,6B,M,HET,black,20.6,18.7,2839.7,PM,0.45,14.2,69.2,3,75.1,24.9,103,40,25.2,115
53575,BKS,9,6B,M,WT,black,19.1,49.8,4258,PM,0,8.4,56.7,4,54.4,25.3,40,64,28.5,135
53576,BKS,9,6B,M,HET,black,23,41.3,4503.7,PM,0,1.6,37.5,5,62.5,15.2,119,45,23.8,117
53577,BKS,9,6B,F,WT,black,18.1,82.4,4083.7,PM,0,15,77.7,1,30.5,10.9,42.5,54,21.7,150
53578,BKS,9,6B,F,HET,black,16.8,41.4,4341.9,PM,0,15.1,21.4,2,28.9,11.6,130,39,18.6,87
53579,BKS,9,6B,F,HET,black,17,34.5,2635.6,PM,0.45,5.7,73.2,3,61.6,23.6,99,34,18.5,108
53580,BKS,9,6B,F,HET,black,17.3,29.7,2320.1,PM,2.71,24.6,64.3,4,48.3,19.5,97.1,31,19.4,102
53582,C3H,7,6B,F,HET,agouti,20.6,4.9,2305.8,PM,0.45,4.1,54.9,5,67.6,93.3,21.4,55,23.9,95
53583,C3H,7,6B,F,WT,agouti,20.3,58.6,4122.4,PM,2.27,5.5,92.9,1,75.4,26.9,70,46,23.4,88
53584,NON,9,6B,M,HET,agouti,28.9,68.4,3089,PM,0,0,12.5,2,39.9,75.5,112.5,54,33.2,125
53585,NON,9,6B,M,WT,agouti,28.2,161.7,2314.3,PM,0,0.4,50.9,3,13.6,101,83.2,44,38.2,160
53586,NON,9,6B,M,HET,agouti,27.1,101.8,3999.6,PM,0,9.8,57.6,4,48.9,105.7,72.1,45,31.7,154
53587,NON,9,6B,M,WT,agouti,30.8,107.7,2915.1,PM,2.24,0.2,48.7,5,44.6,86.1,60.9,55,38.4,125
53591,NON,9,6B,F,WT,agouti,22.4,54.4,2269.6,PM,0,8.7,85.7,1,33.7,62.5,141.4,56,31.8,137
53592,NON,9,6B,F,HET,agouti,20.7,54.6,2360.4,PM,0.45,18.7,79.9,2,63.1,60.1,183.1,39,24.2,91
53593,AJ,6,6B,M,HET,black,28.5,11.3,3741.7,PM,3.14,17.8,94.6,3,43.1,51.4,108.8,48,38.9,130
53594,AJ,6,6B,M,HET,black,29.5,15.6,3102.4,PM,2.69,1.3,82.6,4,81.9,67,83,47,37.5,107
53595,AJ,6,6B,M,WT,black,32.4,66.9,2671.1,PM,1.79,42.4,66.1,5,63,34.9,79.6,45,46.6,107
53596,AJ,6,6B,F,HET,black,22.6,3.9,1236.4,PM,0,81.1,93.8,1,57,15.3,77.4,41,28.7,120
53597,AJ,6,6B,F,WT,black,21.7,31.6,3946.2,PM,3.13,98.6,93.3,2,43,17.2,112.8,45,31.2,105
53598,AJ,6,6B,F,HET,black,18.8,47.2,7758.6,PM,0,4.3,58.9,3,20.6,100,150.6,39,23.1,109
53603,BKS,9,6B,M,WT,black,26.9,68.8,2490.1,PM,0,0,79.5,4,67.7,43.8,59.8,65,30.7,98
53604,BKS,9,6B,M,WT,black,27.2,36.6,3085.9,PM,0.9,8,80.8,5,78.5,63.6,117.5,43,31.2,133
53609,BKS,9,6B,F,WT,black,19.5,26.5,2433.9,PM,0,3.4,67.4,1,68.1,24.8,90.7,64,22.2,110
53610,BKS,9,6B,F,HET,black,18.1,72.9,5203,PM,0,15.8,38.8,2,38.3,10.8,82.2,38,20.7,103
53611,BKS,9,6B,F,WT,black,20,81.2,4847.6,PM,0,70.8,83.9,3,69.9,51.2,67.7,46,22.7,112
53612,BKS,9,6B,M,WT,black,24.2,85.4,3786.7,PM,0.46,0.5,47.3,4,77.7,54.3,21.8,61,25.8,101
53613,BKS,9,6B,M,HET,black,23.3,205.9,4807.2,PM,0,0.5,1.8,5,52.4,15.6,41.2,40,25.4,125
53614,BKS,9,6B,F,WT,black,20.2,51.8,4875.8,PM,3.17,18.9,72.3,1,59.1,18.6,52.5,38,23.1,115
53615,BKS,9,6B,F,HET,black,18.6,109.8,3957.2,PM,0,18,43.8,2,70,13.7,83.7,45,20.7,77
53616,BKS,9,6B,F,WT,black,20.6,53,3441.5,PM,1.37,57,74.1,3,58.3,26.7,59.1,48,23.5,101
53617,PL,5,6B,M,WT,agouti,24.6,146.7,4076.6,PM,0,2.1,6.3,4,70.1,42.3,41.3,89,28.4,139
53618,PL,5,6B,M,WT,agouti,27.2,122.4,4447.2,PM,0.45,6.1,2.7,5,42.9,32.4,31.6,63,30.8,135
53620,PL,5,6B,F,WT,agouti,20.4,29.9,3834.5,PM,0,4.6,4.5,1,30.5,10.1,71.4,50,22.3,110
53621,PL,5,6B,F,WT,agouti,17.1,169.4,4307.7,PM,0,1.1,25.5,2,34.6,18.8,45.6,48,18.6,100
53624,MA,8,6B,M,WT,agouti,24.1,89,5213.7,PM,0.45,2.3,77.3,3,53.2,13.9,58.3,57,27.5,128
53625,MA,8,6B,M,WT,agouti,24.5,128.1,5217.8,PM,1.33,0.2,47.4,4,49.9,11.2,114.6,43,27.8,134
53627,MA,8,6B,F,HET,agouti,18.9,54.1,3844.2,PM,3.11,0.5,82.6,5,76.5,29.3,83.4,45,19.9,112
53628,MA,8,6B,F,WT,agouti,18,135.8,5871.4,PM,2.25,25.8,53.4,1,64,16.3,73.6,36,20.2,104
53629,MA,8,6B,F,HET,agouti,18.9,33.2,3219.5,PM,0,51.8,98.6,2,28.3,8.5,71.5,33,18.9,89
53630,DDY,5,6B,M,WT,black,36.8,56.4,4702.5,PM,2.71,0.7,42.4,3,52.4,110,150,70,44.7,220
53631,DDY,5,6B,M,WT,black,37.5,94.7,5132.8,PM,0,1.1,87.4,4,80.4,179.5,132.4,56,43.6,184
53632,DDY,5,6B,M,WT,black,36.1,72.9,3690.1,PM,0,0.9,72.1,5,61,187.5,125.6,63,43.4,143
53633,DDY,5,6B,M,HET,black,34.4,22.3,3730.8,PM,0,0.4,1.4,1,58.7,80,137.4,35,38.5,142
53638,BKS,8,6B,M,HET,black,21.1,52,3346.2,PM,0,4.8,37.2,2,46,11,69.5,40,24.2,104
53639,BKS,8,6B,M,HET,black,21.3,186.7,3924.1,PM,1.35,2,10.9,3,24.7,21.3,49.2,34,24.2,126
53647,DDY,9,7A,M,HET,black,28.5,34.9,2802.8,AM,3.54,1.3,50.3,1,27.2,56.6,178.9,93,33.7,122
53648,DDY,9,7A,M,WT,black,32.5,130.6,3429.5,AM,1.78,22.1,38.7,2,46.4,59.6,153.6,79,42.3,139
53649,DDY,9,7A,M,HET,black,30.7,50.7,4088.8,AM,1.78,0,56.6,3,8.6,95.2,164,66,40.5,117
53650,DDY,9,7A,M,HET,black,27.7,24.2,3552.6,AM,3.99,2.7,78.3,4,66.1,70.5,144.4,67,32.8,140
53651,DDY,9,7A,M,HET,black,28.6,34.2,3954.3,AM,7.14,0.9,3.4,5,75.6,44.7,206.7,60,32.8,133
53652,DDY,9,7A,M,WT,black,29.2,237.2,5154,AM,0.89,68.7,96.8,1,82.4,52.8,170.9,67,39.1,128
53653,DDY,9,7A,F,HET,black,23.1,69.9,8031.7,AM,1.34,0.2,23.4,2,60.2,93.9,176.2,63,24.6,108
53654,DDY,9,7A,F,HET,black,21.6,18.9,3207.6,AM,0.45,0.5,77.8,3,50.4,66.5,68.8,62,23.8,111
53657,DDY,10,7A,F,WT,black,21,56.5,3042.3,AM,5.8,69.6,73.5,4,67.1,137.9,150,50,23.7,127
53658,DDY,10,7A,F,WT,black,21.9,19.9,4834,AM,5.36,47.9,51.3,5,81.2,28.5,201.9,40,24.6,93
53659,DDY,10,7A,F,WT,black,20.6,69.2,5820.4,AM,0.45,36.8,16.9,1,68.5,30,191.8,36,23.6,101
53660,DDY,6,7A,F,HET,black,22.7,34.1,3544.8,AM,1.34,4.3,45.9,2,54.3,17,191.4,41,24.1,120
53661,DDY,6,7A,F,HET,black,20.2,24.2,5599.4,AM,4.02,1.1,95.6,3,53.5,64,31.3,44,23.5,112
53662,DDY,6,7A,F,HET,black,21.6,9.6,2940.8,AM,3.58,0,42.4,4,57.3,56.8,98.5,46,23.6,113
53663,DDY,6,7A,F,WT,black,21.5,94.2,4329.9,AM,1.79,0.4,58.9,5,82.1,66,94.6,53,25.7,103
53667,MA,9,7A,F,HET,agouti,16.9,56.2,4894.1,AM,0,8,70.8,1,12,6.4,66.5,42,19.2,106
53668,MA,9,7A,F,WT,agouti,17,90.9,5952.4,AM,3.13,0,43.2,2,36.5,5.2,163.9,33,20.1,89
53669,MA,9,7A,F,WT,agouti,18.3,173.7,4125.9,AM,0,1.8,48.2,3,27,11.7,25.4,33,20.6,121
53670,C58,5,7A,M,HET,black,22.8,163.3,11725.6,AM,0,0.4,3.3,4,47.2,17.1,31.2,66,27.5,137
53671,C58,5,7A,M,WT,black,24.4,251.8,8009.3,AM,0.9,0.7,4.3,5,46.5,13.5,14.2,51,30,104
53672,C58,5,7A,F,WT,black,19.8,134.2,8402.9,AM,4.47,4.8,66.8,1,43.1,8.9,108.5,56,23.3,112
53673,C58,5,7A,F,WT,black,18,102.5,5647.8,AM,0.89,0.5,4.5,2,57.7,9.3,44.9,56,20.9,81
53674,C58,5,7A,F,WT,black,19.6,126.8,6991.3,AM,2.68,0.2,12.9,3,47.8,12.7,7.6,41,22.1,98
53675,129,3,7A,F,HET,agouti,21.1,2.8,1503.3,AM,2.68,0.2,88.9,4,57.7,164.3,119.7,41,21,62
53676,129,3,7A,F,HET,agouti,19.7,25.9,3091,AM,3.13,4.3,83.5,5,57.7,90.7,171.7,42,21.4,101
53677,129,3,7A,F,HET,agouti,19.5,20.2,29.5,AM,0,30.3,32,1,55.3,55.1,134.2,32,21,89
53678,57L,7,7A,M,HET,black,25.1,50.4,5388.8,AM,0,0,13.3,2,75.8,37.6,62.6,46,29,150
53679,57L,7,7A,M,HET,black,25.4,41.8,4992.3,AM,0,5.7,56.9,3,34.3,71.5,115.2,48,30.6,124
53680,57L,7,7A,M,WT,black,26.4,164.6,3200.9,AM,0,3.2,58.8,4,79.9,91.2,152.5,34,28.9,93
53683,57L,7,7A,F,WT,black,20.1,176.7,5902.9,AM,8.48,2.7,66.5,5,40.9,15.2,197,68,22.6,108
53684,57L,7,7A,F,HET,black,19.1,37.9,5329.2,AM,0,1.8,91.9,1,31.4,25.8,74.8,63,21.6,134
53685,CBA,5,7A,M,WT,agouti,22.8,207.9,5443.8,AM,0.45,0,4.3,2,55.6,53,47,64,28.7,119
53686,CBA,5,7A,M,HET,agouti,21.1,128.5,5001.5,AM,1.34,0.5,14.2,3,40.3,70.3,45.3,38,24.8,102
53687,CBA,5,7A,M,HET,agouti,22,117.3,4538,AM,0,0.7,1.2,4,26.9,134.1,6.8,58,28.2,138
53692,MA,8,7A,F,HET,agouti,17.8,17.2,3130.7,AM,3.13,0.5,80.5,5,42.2,18,58.3,39,21.1,103
53693,MA,8,7A,F,WT,agouti,17.9,81.6,3529.7,AM,3.13,12.5,58.7,1,41.6,11.4,137.6,45,20.4,93
53696,CBA,5,7A,F,HET,agouti,21.3,34.9,4011.4,AM,2.68,1.8,32.4,2,56,44.3,90.5,35,23.2,119
53697,CBA,5,7A,F,WT,agouti,20.7,219.4,4854.4,AM,0.45,10.9,86.1,3,40.8,61.5,88.2,33,23.6,121
53698,CBA,5,7A,F,WT,agouti,23,91.7,5930.1,AM,2.23,1.3,14.1,4,56.3,72.4,53.7,58,26.2,122
53699,129,9,7A,F,WT,agouti,19.4,111.5,3210.4,AM,3.13,0.5,92.5,5,56.7,129.9,98.2,34,21.2,116
52401,129,9,7A,F,WT,agouti,19.7,24,4377.3,AM,0.45,6.2,84.8,1,39.2,57.5,140.8,49,21.5,149
52402,AJ,2,7A,M,HET,black,30,2.5,2449.6,AM,0,2,54.7,2,61.4,37.8,140.7,49,36.7,126
52403,AJ,2,7A,M,WT,black,33.7,51.8,3870.2,AM,0.45,9.3,35.7,3,49.1,20.5,58.3,65,42.7,83
52405,CBA,8,7B,M,WT,agouti,23.8,180.4,4807.5,AM,0,21.4,1.3,1,55.2,86.5,85.2,49,28.2,128
52406,PL,4,7B,M,HET,agouti,24.8,93.6,3658.5,AM,0,0.9,5.8,2,37.1,6.2,25.4,49,27.9,144
52407,PL,4,7B,M,HET,agouti,24.3,80.9,4626.6,AM,1.04,2,40,3,NA,NA,8.2,48,27.2,118
52408,129,7,7B,F,WT,agouti,20.5,62.8,2499.4,AM,0,59.6,35.8,4,60.5,66,129.6,44,22,90
52409,129,7,7B,F,WT,agouti,19.4,81.9,5569.5,AM,0.9,95.6,100,5,54.8,103,140.6,40,21.4,127
52410,129,7,7B,F,WT,agouti,18.7,83.7,4504.2,AM,0.9,78.7,66.7,1,60.4,62.7,103.6,47,20.8,129
52411,129,7,7B,F,WT,agouti,18.7,176.3,6982.6,AM,2.68,57.7,81.1,2,53,33.2,170.4,41,21.2,165
52412,129,7,7B,F,HET,agouti,20.1,16,2734.5,AM,0,28.7,78.2,3,NA,NA,156.7,39,22.2,144
52415,LP,6,7B,M,HET,agouti,25.6,27.2,3313.8,AM,0,5.9,6.9,4,56.8,19.1,175.2,47,30.4,128
52416,LP,6,7B,M,WT,agouti,28,49.1,2891.4,AM,1.41,2.7,74.1,5,54.2,24.4,117.6,46,32.4,121
52417,LP,6,7B,F,WT,agouti,19.7,56.9,2980.3,AM,0.93,17.6,40,1,21.5,6.2,119.2,60,20.1,117
52418,LP,6,7B,F,HET,agouti,22.4,21.7,862.2,AM,0,86.1,78.8,2,69.1,18.8,182.2,37,23.3,122
52419,PL,4,7B,M,HET,agouti,26.4,22.3,4430.2,AM,0,10,NA,3,NA,NA,45.6,55,28.8,141
52422,C58,4,7B,M,HET,black,24.5,32.5,7390.2,AM,2.24,3,NA,4,65,14.2,64.1,54,27.3,92
52423,C58,4,7B,M,WT,black,28.9,196.3,10417,AM,0,0.7,NA,5,NA,NA,57.3,69,33.8,145
52424,C58,4,7B,F,HET,black,19.9,15.6,5538.8,AM,0,1.6,NA,1,37.6,10.9,11.7,63,23.6,91
52425,C58,4,7B,F,WT,black,20.3,153.8,7646.5,AM,0,3,NA,2,60.5,8.8,114.5,58,21.7,92
52426,C58,4,7B,M,HET,black,23.8,128.1,12058.2,AM,0,0.9,NA,3,NA,NA,37.1,46,29.2,109
52427,C58,4,7B,M,HET,black,24.4,81.8,9955.6,AM,3.57,0.7,NA,4,26.9,13.5,36.1,60,31.6,127
52428,C58,4,7B,M,WT,black,27.3,174.1,10719,AM,0,1.1,NA,5,47.8,8.6,17.9,47,35.9,188
52429,C58,4,7B,M,WT,black,27.5,137.6,11140.1,AM,0.45,1.3,44.3,1,60,9.7,52.8,47,35.3,152
52433,SM,5,7B,F,WT,black,16.8,98.9,8765.7,AM,0.45,11.7,74,2,46.8,40.5,6.7,69,20.1,104
52434,SM,5,7B,F,WT,agouti,18.1,172.8,7414.8,AM,0,0.9,64.3,3,NA,NA,88.1,53,22.5,147
52435,AJ,3,7B,F,HET,black,20.7,6.6,4540.5,AM,0,72.2,36.6,4,37,14.7,88.8,34,25,122
52436,AJ,3,7B,F,HET,black,20.1,52.8,4616.2,AM,0,0.5,54.9,5,51.3,73.2,128.9,38,24.8,137
52437,AJ,3,7B,F,HET,black,17.8,16.4,4482.2,AM,0.92,33.5,32.2,1,-10.5,20,107.7,38,20.7,128
52438,SM,3,8A,F,HET,agouti,18,120.5,7305.3,AM,0.45,0.2,86.6,1,49.3,62,77.4,61,21.7,120
52439,SM,3,8A,F,HET,agouti,17.4,24.9,5432.9,AM,0,1.1,91.5,2,46.3,37,106.7,45,22.8,110
52440,SM,3,8A,F,HET,agouti,17.5,64.4,14204.7,AM,1.79,15.7,50.3,4,30.4,69.3,45.8,60,23.4,136
52442,57L,8,8A,F,HET,black,18.2,129.8,5851.8,AM,0,0,83.9,5,-1.6,15.8,71.6,62,20.7,101
52444,57L,6,8A,F,HET,black,20.1,107.7,5522.9,AM,0,2,24.7,1,11.8,5.5,124.4,39,22.3,85
52446,57L,6,8A,F,HET,black,17.9,224.6,7357.8,AM,0,11,45.7,2,0.1,5.1,56.5,56,20.2,98
